Date,CompanyID,Daily_Return,Trading_Volume,Value_at_Risk,Volatility,Liquidity_Ratio,Environmental_Score,Social_Score,Governance_Score,ESG_Combined_Score,Risk_Category,Compliance_Status,Market_Sentiment
2022-01-03,1,0.0,925274,2.456,14.76,128.81,72.05,70.81,71.82,71.56,Low,Compliant,Neutral
2022-01-03,2,0.0003,1094925,2.306,14.52,110.98,83.6,87.1,73.13,81.28,Medium,Compliant,Bullish
2022-01-03,3,0.0006,946451,2.451,15.32,117.27,78.04,77.08,82.89,79.34,Low,Compliant,Neutral
2022-01-03,4,0.0009,1055115,2.624,14.17,116.08,73.65,89.07,84.57,82.43,Very High,Compliant,Bullish
2022-01-03,5,0.0011,968455,2.72,14.21,128.85,89.1,75.55,81.75,82.13,High,Compliant,Neutral
2022-01-03,6,0.0013,929409,2.386,15.09,119.56,84.65,84.22,70.43,79.77,Medium,Compliant,Neutral
2022-01-03,7,0.0015,1072676,2.44,14.76,132.04,89.97,88.56,72.4,83.64,Medium,Compliant,Bullish
2022-01-03,8,0.0021,962923,2.341,14.42,125.82,80.87,76.29,87.58,81.58,Medium,Compliant,Neutral
2022-01-03,9,0.0023,1033182,2.613,13.7,128.58,83.95,74.47,70.68,76.37,Low,Compliant,Neutral
2022-01-03,10,0.0026,1014847,2.751,15.12,110.52,75.83,70.76,72.83,73.14,High,Compliant,Neutral
2022-01-03,11,0.0025,996051,2.592,16.01,114.25,82.72,84.9,79.36,82.33,Medium,Compliant,Neutral
2022-01-03,12,0.0034,1001042,2.582,16.12,111.44,82.01,73.12,76.34,77.16,Medium,Compliant,Neutral
2022-01-03,13,0.0036,1048594,2.552,14.27,119.35,84.26,77.3,76.98,79.51,Low,Under Review,Neutral
2022-01-03,14,0.0034,919593,2.319,15.38,125.49,73.88,81.9,86.19,80.66,Low,Compliant,Neutral
2022-01-03,15,0.0037,1036109,2.645,16.16,112.3,79.39,72.31,86.77,79.49,Medium,Compliant,Neutral
2022-01-04,1,0.0039,1081929,2.583,14.81,111.38,72.16,70.88,71.85,71.63,Medium,Compliant,Bullish
2022-01-04,2,0.0043,914050,2.615,16.4,123.05,83.71,87.16,73.17,81.35,Low,Compliant,Neutral
2022-01-04,3,0.0047,930827,2.737,16.32,113.82,78.15,77.15,82.92,79.41,Low,Compliant,Neutral
2022-01-04,4,0.0049,1046536,2.681,14.22,119.83,73.76,89.13,84.6,82.5,Medium,Compliant,Neutral
2022-01-04,5,0.005,990663,2.682,14.38,109.54,89.21,75.61,81.79,82.2,Low,Compliant,Neutral
2022-01-04,6,0.0056,984062,2.758,14.15,124.71,84.75,84.28,70.46,79.83,Medium,Compliant,Neutral
2022-01-04,7,0.0053,930722,2.792,14.2,121.38,90.07,88.63,72.43,83.71,Medium,Compliant,Neutral
2022-01-04,8,0.0057,1005119,2.586,16.36,123.95,80.98,76.36,87.61,81.65,Low,Compliant,Neutral
2022-01-04,9,0.006,928947,2.348,16.44,115.01,84.06,74.53,70.71,76.43,High,Compliant,Neutral
2022-01-04,10,0.0064,999407,2.528,13.78,115.11,75.94,70.83,72.86,73.21,Low,Compliant,Neutral
2022-01-04,11,0.0071,1057221,2.697,15.43,127.72,82.83,84.97,79.39,82.4,High,Compliant,Bullish
2022-01-04,12,0.0065,955882,2.311,15.34,125.74,82.11,73.18,76.37,77.22,High,Compliant,Neutral
2022-01-04,13,0.0072,1000755,2.328,14.82,122.41,84.37,77.36,77.01,79.58,Medium,Compliant,Neutral
2022-01-04,14,0.0075,1103660,2.335,15.56,123.6,73.99,81.96,86.22,80.72,Very High,Compliant,Bullish
2022-01-04,15,0.0069,1042472,2.676,16.52,110.74,79.5,72.38,86.8,79.56,High,Compliant,Neutral
2022-01-05,1,0.008,1073749,2.56,14.17,129.13,72.27,70.94,71.88,71.7,Very High,Compliant,Bullish
2022-01-05,2,0.0075,988178,2.494,14.02,127.07,83.82,87.23,73.2,81.42,Medium,Compliant,Neutral
2022-01-05,3,0.0075,1059335,2.361,13.76,122.77,78.26,77.21,82.95,79.47,Medium,Compliant,Bullish
2022-01-05,4,0.0092,913224,2.684,14.77,130.7,73.87,89.2,84.64,82.57,Medium,Compliant,Neutral
2022-01-05,5,0.0095,929956,2.475,14.7,112.62,89.32,75.68,81.82,82.27,Low,Compliant,Neutral
2022-01-05,6,0.0094,946241,2.448,14.99,125.14,84.86,84.35,70.49,79.9,Very High,Compliant,Neutral
2022-01-05,7,0.0087,986423,2.648,15.21,131.83,90.18,88.69,72.46,83.78,Medium,Compliant,Neutral
2022-01-05,8,0.0085,1075911,2.602,15.99,116.09,81.09,76.42,87.64,81.72,Medium,Compliant,Bullish
2022-01-05,9,0.0098,975549,2.502,14.88,108.99,84.17,74.6,70.74,76.5,Very High,Compliant,Neutral
2022-01-05,10,0.0095,1037797,2.648,14.7,126.38,76.05,70.89,72.89,73.28,Very High,Compliant,Neutral
2022-01-05,11,0.009,1048986,2.458,16.22,108.82,82.94,85.03,79.42,82.46,Low,Compliant,Neutral
2022-01-05,12,0.0099,1024365,2.73,16.29,129.74,82.22,73.25,76.4,77.29,High,Compliant,Neutral
2022-01-05,13,0.0092,978423,2.44,14.42,110.04,84.47,77.43,77.04,79.65,Medium,Compliant,Neutral
2022-01-05,14,0.0111,1022874,2.405,14.67,124.47,74.09,82.03,86.26,80.79,Medium,Compliant,Neutral
2022-01-05,15,0.0099,975737,2.728,16.23,117.83,79.6,72.44,86.83,79.62,Very High,Compliant,Neutral
2022-01-06,1,0.0109,923827,2.691,13.96,113.65,72.38,71.01,71.91,71.77,High,Compliant,Neutral
2022-01-06,2,0.0103,1107199,2.421,14.72,130.46,83.92,87.29,73.23,81.48,Medium,Compliant,Bullish
2022-01-06,3,0.0109,932871,2.388,15.1,126.8,78.37,77.28,82.99,79.55,Low,Compliant,Neutral
2022-01-06,4,0.0111,921973,2.763,14.3,117.01,73.98,89.26,84.67,82.64,Medium,Compliant,Neutral
2022-01-06,5,0.0104,1084716,2.732,14.28,115.67,89.42,75.74,81.85,82.34,Medium,Compliant,Bullish
2022-01-06,6,0.0122,968575,2.501,15.04,126.61,84.97,84.41,70.52,79.97,Low,Compliant,Neutral
2022-01-06,7,0.0119,1039039,2.673,16.05,129.06,90.29,88.75,72.49,83.84,Medium,Compliant,Neutral
2022-01-06,8,0.0124,974386,2.398,16.31,126.16,81.19,76.48,87.67,81.78,Low,Compliant,Neutral
2022-01-06,9,0.0124,987154,2.597,16.74,124.34,84.27,74.66,70.77,76.57,Medium,Compliant,Neutral
2022-01-06,10,0.0118,961214,2.345,13.98,114.39,76.16,70.96,72.92,73.35,High,Compliant,Neutral
2022-01-06,11,0.0127,977715,2.54,14.42,129.53,83.05,85.1,79.46,82.54,Low,Compliant,Neutral
2022-01-06,12,0.0108,991541,2.376,16.07,127.05,82.33,73.31,76.43,77.36,High,Compliant,Neutral
2022-01-06,13,0.0111,1054256,2.585,15.42,121.44,84.58,77.49,77.07,79.71,Low,Compliant,Bullish
2022-01-06,14,0.0108,1012244,2.558,14.77,121.32,74.2,82.09,86.29,80.86,Medium,Compliant,Neutral
2022-01-06,15,0.0115,1099693,2.571,14.4,122.73,79.71,72.5,86.86,79.69,Medium,Compliant,Bullish
2022-01-07,1,0.0118,917692,2.365,14.63,129.02,72.48,71.07,71.94,71.83,High,Compliant,Neutral
2022-01-07,2,0.0115,1011047,2.53,15.09,126.96,84.03,87.36,73.26,81.55,High,Compliant,Neutral
2022-01-07,3,0.0129,1027621,2.737,14.32,129.74,78.47,77.34,83.02,79.61,Medium,Compliant,Neutral
2022-01-07,4,0.0118,1095713,2.536,16.74,121.3,74.08,89.32,84.7,82.7,Low,Compliant,Bullish
2022-01-07,5,0.0117,919785,2.717,14.12,124.16,89.53,75.81,81.88,82.41,Medium,Compliant,Neutral
2022-01-07,6,0.0123,1025974,2.537,16.81,129.75,85.08,84.48,70.56,80.04,Medium,Compliant,Neutral
2022-01-07,7,0.0114,1082806,2.566,16.37,114.69,90.4,88.82,72.52,83.91,Low,Compliant,Bullish
2022-01-07,8,0.013,959247,2.64,15.09,119.84,81.3,76.55,87.71,81.85,Low,Compliant,Neutral
2022-01-07,9,0.0112,1087757,2.843,16.07,124.14,84.38,74.73,70.81,76.64,Low,Compliant,Bullish
2022-01-07,10,0.0134,914469,2.404,15.86,131.29,76.26,71.02,72.96,73.41,Low,Compliant,Neutral
2022-01-07,11,0.0129,1059013,2.365,14.46,109.51,83.15,85.16,79.49,82.6,Medium,Compliant,Bullish
2022-01-07,12,0.0115,1099810,2.666,14.85,114.29,82.44,73.38,76.46,77.43,Medium,Compliant,Bullish
2022-01-07,13,0.011,1044134,2.845,15.38,114.84,84.69,77.56,77.11,79.79,Medium,Compliant,Neutral
2022-01-07,14,0.013,1000132,2.867,15.77,117.09,74.31,82.15,86.32,80.93,Low,Compliant,Neutral
2022-01-07,15,0.0127,920474,2.603,15.48,116.02,79.82,72.57,86.9,79.76,Very High,Compliant,Neutral
2022-01-10,1,0.0127,1097920,2.595,15.27,123.52,72.59,71.14,71.98,71.9,Medium,Compliant,Bullish
2022-01-10,2,0.0127,1006973,2.688,15.18,130.71,84.14,87.42,73.3,81.62,Medium,Compliant,Neutral
2022-01-10,3,0.011,917722,2.642,15.35,124.69,78.58,77.41,83.05,79.68,Low,Compliant,Neutral
2022-01-10,4,0.0116,1051803,2.683,15.16,115.11,74.19,89.39,84.73,82.77,Medium,Compliant,Bullish
2022-01-10,5,0.011,1009822,2.809,15.49,130.23,89.64,75.87,81.92,82.48,Medium,Compliant,Neutral
2022-01-10,6,0.0127,937517,2.743,16.56,124.62,85.18,84.54,70.59,80.1,Medium,Under Review,Neutral
2022-01-10,7,0.0121,955909,2.613,15.78,114.6,90.5,88.88,72.56,83.98,High,Compliant,Neutral
2022-01-10,8,0.0113,925694,2.595,16.05,118.09,81.41,76.61,87.74,81.92,High,Compliant,Neutral
2022-01-10,9,0.0106,1029257,2.688,15.67,128.51,84.49,74.79,70.84,76.71,High,Compliant,Neutral
